阿	tz_· 阝可 ·a
佱	jfsi2· 亼一止 ·fa
反	xr_· ⺁又 ·fan
饭	qx_· 饣⺁又 ·fan
烦	cwy_· 火页 ·fan
凡	oid_· 几丶 ·fan
翻	tp_· 丿米田羽 ·fan
犯	mz_· 犭⺋ ·fan
繁	ekhi· 𠂉母攵糸 ·fan
范	lkz_· 艹氵⺋ ·fan
番	tpq_· 丿米田 ·fan
返	xru_· ⺁又辶 ·fan
帆	roi_· 巾几丶 ·fan
泛	ktr_· 氵丿之 ·fan
贩	oxr_· 贝⺁又 ·fan
樊	ebbm· 木乂乂木大 ·fan
藩	lkt_· 艹氵丿米田 ·fan
钒	zoi_· 钅几丶 ·fan
幡	rtp_· 巾丿米田 ·fan
矾	moi_· 石几丶 ·fan
梵	eeo_· 木木几丶 ·fan
畈	qxr_· 田⺁又 ·fan
蕃	ltp_· 艹丿米田 ·fan
燔	ctp_· 火丿米田 ·fan
犭	mqq_· 犭 ·fan
蹯	ptp_· ⻊丿米田 ·fan
攵	hp2· 攵 ·fan
蘩	leki· 艹𠂉母攵糸 ·fan
璠	ntpq· 王丿米田 ·fan
墦	gtp_· 土丿米田 ·fan
薠	lcw_· 艹火頁 ·fan
舩	ihk_· 舟八厶 ·fan
舧	ito_· 舟丿几丶 ·fan
舤	ioi_· 舟几丶 ·fan
膰	vtpq2· 月丿米田 ·fan
蠜	ebbc2· 木乂乂木大虫 ·fan
羳	gtpq2· ⺶丿米田 ·fan
襎	ttp_· 衤丿米田 ·fan
繙	itpq2· 糹丿米田 ·fan
緐	ekti· 𠂉母丿糸 ·fan
訉	soid· 言几丶 ·fan
籵	pns2· 米十 ·fan
籓	rktq· ⺮氵丿米田 ·fan
範	ryz_· ⺮車⺋ ·fan
笵	rkz_· ⺮氵⺋ ·fan
笲	rkl_· ⺮厶廾 ·fan
礬	ebbm2· 木乂乂木大石 ·fan
盕	koia· 氵几丶皿 ·fan
販	oxry3· 貝⺁又 ·fan
畨	pqt_· 米田 ·fan
犿	mzy_· 犭亠卜 ·fan
煩	cwy2· 火頁 ·fan
軓	yoi_· 車几丶 ·fan
軬	kmy_· 厶大車 ·fan
瀿	keki· 氵𠂉母攵糸 ·fan
瀪	ekhk· 𠂉母攵白水 ·fan
滼	keei· 氵木木几丶 ·fan
轓	ytpq· 車丿米田 ·fan
渢	kotc· 氵⺇丿虫 ·fan
汎	koid· 氵几丶 ·fan
氾	kzj2· 氵⺋ ·fan
橎	etpq· 木丿米田 ·fan
釩	zoid2· 金几丶 ·fan
楓	eot_· 木⺇丿虫 ·fan
棥	ebbe2· 木乂乂木 ·fan
柉	etri2· 木丿之 ·fan
杋	eoi_· 木几丶 ·fan
旛	letq· 方𠂉丿米田 ·fan
旙	ltpq2· 方丿米田 ·fan
鐇	ztpq2· 金丿米田 ·fan
払	uks3· 扌厶 ·fan
憣	htpq· 忄丿米田 ·fan
忛	hoid· 忄几丶 ·fan
颿	notc· 馬⺇丿虫 ·fan
飜	tpqc· 丿米田飛 ·fan
飯	qxry3· 飠⺁又 ·fan
飰	qzy_· 飠亠卜 ·fan
嬔	bwls· 女兔生 ·fan
嬏	btpq· 女丿米田 ·fan
嬎	bwpl· 女生 ·fan
婏	bwt2· 女兔 ·fan
奿	kib_· 九丶女 ·fan
噃	dtp_· 口丿米田 ·fan
鱕	wtpq2· 魚丿米田 ·fan
匥	nkl_· 匚厶廾 ·fan
勫	tpqs· 丿米田力 ·fan
凣	goj2· 丨几 ·fan
凢	toj2· 丿几 ·fan
鷭	tpqx2· 丿米田鳥 ·fan
仮	jxry2· 亻⺁又 ·fan
放	lh_· 方攵 ·fang
房	mlf_· 户方 ·fang
方	lf_· 方 ·fang
访	slf_· 讠方 ·fang
防	tlf_· 阝方 ·fang
芳	llf_· 艹方 ·fang
坊	glf_· 土方 ·fang
仿	jlf_· 亻方 ·fang
纺	ilf_· 纟方 ·fang
舫	ilf2· 舟方 ·fang
枋	elf_· 木方 ·fang
邡	lte2· 方阝 ·fang
肪	vlf_· 月方 ·fang
妨	blf_· 女方 ·fang
鲂	wlf2· 鱼方 ·fang
钫	zlf_· 钅方 ·fang
匚	nk2· 匚 ·fang
彷	wlf_· 彳方 ·fang
昉	olf_· 日方 ·fang
蚄	clf_· 虫方 ·fang
紡	ilf3· 糹方 ·fang
訪	slf2· 言方 ·fang
祊	flf_· 礻方 ·fang
眪	qfmj2· 目一冂人 ·fang
眆	qlf2· 目方 ·fang
瓬	lrw_· 方瓦 ·fang
趽	plf_· ⻊方 ·fang
牥	qlf_· 牜方 ·fang
淓	kll_· 氵艹方 ·fang
鈁	zlf2· 金方 ·fang
昘	olf2· 日方 ·fang
旊	lerw· 方𠂉瓦 ·fang
徬	wiwl2· 彳冖方 ·fang
堏	elg_· 木方土 ·fang
埅	tlg_· 阝方土 ·fang
髣	pel_· 镸彡方 ·fang
魴	wlf3· 魚方 ·fang
鴋	lxn6· 方鳥 ·fang
鶭	ilx_· 糹方鳥 ·fang
倣	jlhp· 亻方攵 ·fang
飞	cf_· 飞 ·fei
费	to_· 弗贝 ·fei
非	rf_· 非 ·fei
肥	vmb_· 月巴 ·fei
废	xsr_· 广又丶 ·fei
菲	lr_· 艹非 ·fei
斐	rvw_· 非文 ·fei
肺	vfr_· 月一巾 ·fei
匪	nrf_· 匚非 ·fei
沸	ktf_· 氵弗 ·fei
妃	bvj_· 女己 ·fei
吠	dmq_· 口犬 ·fei
芾	lfr_· 艹一巾 ·fei
腓	vrf_· 月非 ·fei
扉	mrf_· 户非 ·fei
淝	kvm_· 氵月巴 ·fei
绯	irf_· 纟非 ·fei
霏	trf_· ⻗非 ·fei
诽	srf_· 讠非 ·fei
啡	drf_· 口非 ·fei
翡	rzv_· 非羽 ·fei
镄	zto_· 钅弗贝 ·fei
蜚	rcc_· 非虫 ·fei
痱	arf_· 疒非 ·fei
狒	mtf_· 犭弗 ·fei
鲱	wrf2· 鱼非 ·fei
悱	hrf_· 忄非 ·fei
榧	enr_· 木匚非 ·fei
篚	rnr_· ⺮匚非 ·fei
剕	rpd2· 非刂 ·fei
蕡	lnl_· 艹十艹貝 ·fei
蕟	lhbr· 艹癶弓殳 ·fei
蕜	lrh_· 艹非心 ·fei
萉	lvmb· 艹月巴 ·fei
蜰	vmcc· 月巴虫 ·fei
蟦	cnlo2· 虫十艹貝 ·fei
胐	vsmk2· ⺼屮凵 ·fei
胇	vtf3· 月弗 ·fei
裵	trf2· 衣非 ·fei
裶	trf3· 衤非 ·fei
襏	thbr· 衤癶弓殳 ·fei
緋	irf2· 糹非 ·fei
紼	itf2· 糹弗 ·fei
笰	rtf3· ⺮弗 ·fei
誹	srf2· 言非 ·fei
癈	ahbr· 疒癶弓殳 ·fei
費	tob2· 弗貝 ·fei
疿	atf_· 疒弗 ·fei
猆	rmq_· 非犬 ·fei
濷	kkl_· 水氵廿㒳 ·fei
渄	krf_· 氵非 ·fei
櫠	exhr· 木广癶弓殳 ·fei
橃	ehbr· 木癶弓殳 ·fei
棐	rem2· 非木 ·fei
柹	etf_· 木𠂔 ·fei
杮	efr_· 木一巾 ·fei
朏	vsm_· 月屮凵 ·fei
曊	oto_· 日弗貝 ·fei
暃	orf_· 日非 ·fei
昲	otf_· 日弗 ·fei
鐨	ztob2· 金弗貝 ·fei
陫	trf4· 阝非 ·fei
靅	tbto· ⻗云弗貝 ·fei
靟	rvm3· 非毛 ·fei
廢	xhbr· 广癶弓殳 ·fei
屝	crf_· 尸非 ·fei
飛	cff_· 飛 ·fei
飝	cccf2· 飛飛飛 ·fei
餥	rqs2· 非食 ·fei
婔	brf_· 女非 ·fei
婓	rbn2· 非女 ·fei
馡	xorf· 禾日非 ·fei
奜	rmd2· 非大 ·fei
墢	ghb_· 土癶弓殳 ·fei
騑	nrf4· 馬非 ·fei
騛	ncf2· 馬飛 ·fei
髴	pet_· 镸彡弗 ·fei
鯡	wrf3· 魚非 ·fei
厞	xrf_· 厂非 ·fei
俷	jvmb· 亻月巴 ·fei
鼣	pmq2· 鼠犬 ·fei
鼥	pnri2· 鼠𠂇又丶 ·fei
分	hp_· 八刀 ·fen
份	jh_· 亻八刀 ·fen
粉	php_· 米八刀 ·fen
芬	lhp_· 艹八刀 ·fen
粪	plh_· 米龷八 ·fen
坟	gvw_· 土文 ·fen
奋	mqt_· 大田 ·fen
汾	khp_· 氵八刀 ·fen
焚	eec_· 木木火 ·fen
酚	yhp_· 酉八刀 ·fen
纷	ihp_· 纟八刀 ·fen
愤	hnl_· 忄十艹贝 ·fen
氛	vhp_· 气八刀 ·fen
忿	hph_· 八刀心 ·fen
棼	eehp· 木木八刀 ·fen
吩	dhp_· 口八刀 ·fen
颁	hpw_· 八刀页 ·fen
偾	jnl_· 亻十艹贝 ·fen
鼢	phpd2· 鼠八刀 ·fen
玢	nhpd· 王八刀 ·fen
瀵	kpq_· 氵米田龷八 ·fen
鲼	wnl_· 鱼十艹贝 ·fen
棻	lhpe· 艹八刀木 ·fen
蕡	lnl_· 艹十艹貝 ·fen
蒶	lihp2· 艹糹八刀 ·fen
葐	lhpa· 艹八刀皿 ·fen
蚠	hpcc· 八刀虫 ·fen
蚡	chpd· 虫八刀 ·fen
膹	vnlo· 月十艹貝 ·fen
衯	thpd2· 衤八刀 ·fen
肦	vhpd4· ⺼八刀 ·fen
翂	zhp_· 羽八刀 ·fen
羵	gnlo2· ⺶十艹貝 ·fen
羒	ghpd2· ⺶八刀 ·fen
紛	ihpd3· 糹八刀 ·fen
糞	pql_· 米田龷八 ·fen
訜	shpd2· 言八刀 ·fen
竕	ihpd2· 立八刀 ·fen
秎	xhpd· 禾八刀 ·fen
砏	mhp_· 石八刀 ·fen
瞓	qso_· 目言川 ·fen
豮	jnlo2· 豕十艹贝 ·fen
豶	jnlo4· 豕十艹貝 ·fen
獖	mnlo· 犭十艹貝 ·fen
燓	ebbc· 木乂乂木火 ·fen
燌	cnlo· 火十艹貝 ·fen
炃	hpch· 八刀火 ·fen
濆	knlo2· 氵十艹貝 ·fen
轒	ynl_· 車十艹貝 ·fen
橨	enlo· 木十艹貝 ·fen
鈖	zhpd4· 金八刀 ·fen
梤	evhp· 木山八刀 ·fen
枌	ehpd· 木八刀 ·fen
朌	vhpd3· 月八刀 ·fen
朆	hrye· 丷囗⺌曰勹 ·fen
錀	zjl2· 金侖 ·fen
昐	ohpd· 日八刀 ·fen
鐼	znl_· 金十艹貝 ·fen
憤	hnlo2· 忄十艹貝 ·fen
隫	tnl_· 阝十艹貝 ·fen
雰	thp_· ⻗八刀 ·fen
弅	hplc2· 八刀廾 ·fen
幩	rnlo· 巾十艹貝 ·fen
帉	rhpd2· 巾八刀 ·fen
頒	hpwy2· 八刀頁 ·fen
岎	vhpd2· 山八刀 ·fen
餴	qmn_· 飠大十廾 ·fen
饙	qnl_· 飠十艹貝 ·fen
馚	xohp· 禾日八刀 ·fen
妢	bhp_· 女八刀 ·fen
馩	xono· 禾日十艹貝 ·fen
奮	muq_· 大隹田 ·fen
墳	gnl_· 土十艹貝 ·fen
坋	ghpd· 土八刀 ·fen
坆	ghp2· 土攵 ·fen
魵	whp_· 魚八刀 ·fen
鱝	wnlo2· 魚十艹貝 ·fen
鳻	hpx_· 八刀鳥 ·fen
兝	cph_· 古儿八刀 ·fen
僨	jnlo3· 亻十艹貝 ·fen
黂	znlo2· 麻十艹貝 ·fen
黺	cfh_· 业㡀八刀 ·fen
鼖	nlhc· 十艹支 ·fen
风	obi_· ⺇乂 ·feng
疯	aobi· 疒⺇乂 ·feng
封	ggk_· 土土寸 ·feng
讽	sobi· 讠⺇乂 ·feng
奉	aiu_· ㇏ ·feng
峰	vha_· 山夂丰 ·feng
丰	af_· 丰 ·feng
凤	ory_· 几又 ·feng
冯	wnm_· 冫马 ·feng
锋	zhaf· 钅夂丰 ·feng
逢	hau_· 夂丰辶 ·feng
缝	iha_· 纟夂丰辶 ·feng
枫	eob_· 木⺇乂 ·feng
烽	cha_· 火夂丰 ·feng
蜂	chaf· 虫夂丰 ·feng
沣	kaf_· 氵丰 ·feng
俸	jaiu· 亻㇏ ·feng
砜	mobi· 石⺇乂 ·feng
葑	lggk· 艹土土寸 ·feng
唪	daiu· 口㇏ ·feng
酆	vaa_· 山丰丰豆阝 ·feng
沨	kobi· 氵⺇乂 ·feng
蘴	lva_· 艹山丰丰豆 ·feng
莑	lhaf· 艹夂丰 ·feng
艂	ihaf2· 舟夂丰 ·feng
舽	ihvk3· 舟夂㐄 ·feng
蠭	hauc2· 夂丰辶虫虫 ·feng
肨	vaf2· 月丰 ·feng
覂	vtri· 覀丿之 ·feng
縫	ihau2· 糹夂丰辶 ·feng
綘	ihaf· 糹夂丰 ·feng
篈	rggk· ⺮土土寸 ·feng
諷	sotc· 言⺇丿虫 ·feng
碸	motc2· 石⺇丿虫 ·feng
豊	yzd_· 曲豆 ·feng
盽	qaf2· 目丰 ·feng
豐	vaaz· 山丰丰豆 ·feng
瘋	aot_· 疒⺇丿虫 ·feng
賵	ooqm2· 貝⺜目 ·feng
甮	nety· 勹用 ·feng
赗	ooq_· 贝⺜目 ·feng
琒	nha_· 王夂丰 ·feng
猦	motc· 犭⺇丿虫 ·feng
犎	ggkq· 土土寸牛 ·feng
熢	chau· 火夂丰辶 ·feng
煈	cotc· 火⺇丿虫 ·feng
焨	covy· 火⺜⺝ ·feng
炐	caf2· 火丰 ·feng
灃	kvaz· 氵山丰丰豆 ·feng
漨	khau· 氵夂丰辶 ·feng
溄	kvh_· 氵山夂 ·feng
湗	kggk· 氵土土寸 ·feng
渢	kotc· 氵⺇丿虫 ·feng
浲	kha_· 氵夂丰 ·feng
鄷	yzt_· 曲豆阝 ·feng
檒	eeoc· 木木⺇丿虫 ·feng
楓	eot_· 木⺇丿虫 ·feng
桻	eha_· 木夂丰 ·feng
鋒	zhaf2· 金夂丰 ·feng
鎽	zvh_· 金山夂丰 ·feng
摓	uhau· 扌夂丰辶 ·feng
鏠	zhau· 金夂丰辶 ·feng
捀	uhaf· 扌夂丰 ·feng
靊	tva_· ⻗山丰丰豆 ·feng
崶	vggk· 山土土寸 ·feng
峯	vhaf2· 山夂丰 ·feng
風	otc_· ⺇丿虫 ·feng
寷	wva_· 宀山丰丰豆 ·feng
飌	lddc· 艹口口隹⺇丿虫 ·feng
妦	baf_· 女丰 ·feng
馮	wnm2· 冫馬 ·feng
夆	haf_· 夂丰 ·feng
堸	gotc· 土⺇丿虫 ·feng
埄	gha_· 土夂丰 ·feng
鳯	oxn2· 几鳥 ·feng
鳳	ofx_· 几一鳥 ·feng
鴌	fmx_· 一大鳥 ·feng
凮	ofu_· 几一白 ·feng
凬	ofor· 几一日 ·feng
凨	oby2· 几云 ·feng
僼	jyz_· 亻曲豆 ·feng
偑	jotc· 亻⺇丿虫 ·feng
麷	ejjz· 木人人夂山丰丰豆 ·feng
仹	jaf2· 亻丰 ·feng
佛	jtf_· 亻弗 ·fo
坲	gtf_· 土弗 ·fo
仸	jtmd2· 亻丿大 ·fo
仏	jks4· 亻厶 ·fo
否	cd_· 不口 ·fou
缶	aff_· 缶 ·fou
芣	lcb_· 艹不 ·fou
缻	arw_· 缶瓦 ·fou
缹	ach3· 缶灬 ·fou
紑	icb_· 糹不 ·fou
炰	nvc_· 勹巳灬 ·fou
雬	tem_· ⻗木 ·fou
妚	bcb_· 女不 ·fou
鴀	cxn5· 不鳥 ·fou
付	jk_· 亻寸 ·fu
服	vz_· 月卩又 ·fu
副	fdq_· 一口田刂 ·fu
福	ff_· 礻一口田 ·fu
夫	hf_· 夫 ·fu
富	wfd_· 宀一口田 ·fu
赴	py_· 走卜 ·fu
府	xjk_· 广亻寸 ·fu
幅	rfd_· 巾一口田 ·fu
负	xo_· ⺈贝 ·fu
傅	jnk_· 亻甫寸 ·fu
弗	tf_· 弗 ·fu
扶	uhf_· 扌夫 ·fu
复	eoh_· 𠂉日夊 ·fu
浮	kyh_· 氵爫子 ·fu
伏	jmq_· 亻犬 ·fu
辅	ynf_· 甫 ·fu
甫	nff_· 甫 ·fu
妇	bb_· 女彐 ·fu
阜	tkn_· 丿㠯十 ·fu
孚	yhi_· 爫子 ·fu
父	hbi_· 八乂 ·fu
符	rjk_· ⺮亻寸 ·fu
氟	vtf_· 气弗 ·fu
附	tjk_· 阝亻寸 ·fu
腹	veo_· 月𠂉日夊 ·fu
赋	ofps· 贝一弋止 ·fu
抚	udu_· 扌无 ·fu
腐	xjkj· 广亻寸冂人人 ·fu
釜	hbzj· 八乂 ·fu
覆	vwe_· 覀彳𠂉日夊 ·fu
拂	utf_· 扌弗 ·fu
斧	hbt_· 八乂斤 ·fu
敷	nlh_· 甫方攵 ·fu
俯	jxjk· 亻广亻寸 ·fu
芙	lhf_· 艹夫 ·fu
罘	ycb_· 罒不 ·fu
肤	vhf_· 月夫 ·fu
孵	byh_· 卵爫子 ·fu
馥	xoe_· 禾日𠂉日夊 ·fu
缚	ink_· 纟甫寸 ·fu
涪	kidk· 氵立口 ·fu
绂	inr_· 纟𠂇又丶 ·fu
俘	jyh_· 亻爫子 ·fu
辐	yfd_· 一口田 ·fu
腑	vxj_· 月广亻寸 ·fu
蚨	chf_· 虫夫 ·fu
滏	khbz· 氵八乂 ·fu
凫	xoj3· 鸟几 ·fu
袱	tjm_· 衤亻犬 ·fu
麸	ahh_· 龶夂夫 ·fu
苻	ljkc· 艹亻寸 ·fu
趺	phf_· ⻊夫 ·fu
桴	eyh_· 木爫子 ·fu
跗	pjk_· ⻊亻寸 ·fu
拊	ujkc· 扌亻寸 ·fu
菔	lvz_· 艹月卩又 ·fu
莩	lyh_· 艹爫子 ·fu
祓	fnr_· 礻𠂇又丶 ·fu
赙	onkc· 贝甫寸 ·fu
佛	jtf_· 亻弗 ·fu
咐	djk_· 口亻寸 ·fu
讣	syb_· 讠卜 ·fu
脯	vnf_· 月甫 ·fu
茯	ljm_· 艹亻犬 ·fu
蝠	cfd_· 虫一口田 ·fu
匐	nfdq· 勹一口田 ·fu
呋	dhf_· 口夫 ·fu
驸	njkc· 马亻寸 ·fu
蝮	ceo_· 虫𠂉日夊 ·fu
蜉	cyh_· 虫爫子 ·fu
郛	yht_· 爫子阝 ·fu
黻	cfni· 业㡀𠂇又丶 ·fu
怫	htf2· 忄弗 ·fu
黼	cfn_· 业㡀甫 ·fu
鲋	wjkc· 鱼亻寸 ·fu
稃	xyh_· 禾爫子 ·fu
绋	itf_· 纟弗 ·fu
幞	rcgi· 巾业⺶㇏ ·fu
砩	mtf2· 石弗 ·fu
艴	txm_· 弗⺈巴 ·fu
芾	lfr_· 艹一巾 ·fu
鳆	weoh2· 鱼𠂉日夊 ·fu
簠	rna_· ⺮甫皿 ·fu
茀	ltf_· 艹弗 ·fu
洑	kjm_· 氵亻犬 ·fu
袚	tnri· 衤𠂇又丶 ·fu
韨	gnri· 韦𠂇又丶 ·fu
蕧	lweh· 艹彳𠂉日夊 ·fu
蓲	lndd· 艹匸口口口 ·fu
葍	lfdq· 艹一口田 ·fu
萯	lxob· 艹⺈貝 ·fu
虙	zhtp2· 虍心丿 ·fu
蚥	chb_· 虫八乂 ·fu
荴	luh_· 艹扌夫 ·fu
蚹	cjkc· 虫亻寸 ·fu
蛗	tkcc· 丿㠯虫 ·fu
荂	lmma· 艹大二ㄅ ·fu
蜅	cnf2· 虫甫 ·fu
蝜	cxob2· 虫⺈貝 ·fu
芣	lcb_· 艹不 ·fu
艀	iyhi2· 舟爫子 ·fu
膚	zqv_· 虍田⺝ ·fu
胕	vjkc· 月亻寸 ·fu
衭	thf3· 衤夫 ·fu
袝	tjkc2· 衤亻寸 ·fu
翇	znri2· 羽𠂇又丶 ·fu
複	teo_· 衤𠂉日夊 ·fu
褔	tfd_· 衤一口田 ·fu
罦	yyh_· 罒爫子 ·fu
襆	tcg_· 衤业⺶㇏ ·fu
襥	tjc_· 衤亻业⺶㇏ ·fu
覄	vjm_· 覀亻犬 ·fu
縛	inkc2· 糹甫寸 ·fu
緮	ieo_· 糹𠂉日夊 ·fu
綒	iyh_· 糹爫子 ·fu
綍	inwh· 糹十冖子 ·fu
絥	ijmq· 糹亻犬 ·fu
紼	itf2· 糹弗 ·fu
紱	inri2· 糹𠂇又丶 ·fu
紨	ijkc· 糹亻寸 ·fu
糐	pnk_· 米甫寸 ·fu
訃	syb2· 言卜 ·fu
粰	pyhi· 米爫子 ·fu
詂	sjk_· 言亻寸 ·fu
箙	rvz_· ⺮月卩又 ·fu
箁	ridk· ⺮立口 ·fu
筟	ryh_· ⺮爫子 ·fu
笰	rtf3· ⺮弗 ·fu
竎	ilc_· 立廾 ·fu
稪	xeo_· 禾𠂉日夊 ·fu
秿	xnf2· 禾甫 ·fu
諨	sfdq· 言一口田 ·fu
禣	fnk_· 礻甫寸 ·fu
祔	fjk_· 礻亻寸 ·fu
砆	mhf2· 石夫 ·fu
盙	nam2· 甫皿 ·fu
豧	jnf2· 豕甫 ·fu
癁	awe_· 疒彳𠂉日夊 ·fu
負	xob2· ⺈貝 ·fu
費	tob2· 弗貝 ·fu
賦	ofps2· 貝一弋止 ·fu
賻	onkc2· 貝甫寸 ·fu
畗	gqt_· 田 ·fu
畐	fdqt· 一口田 ·fu
畉	qhf2· 田夫 ·fu
甶	tqt2· 丿田 ·fu
璷	nnl_· 王甫方攵 ·fu
琈	nyh_· 王爫子 ·fu
玸	nnvs· 王勹巳 ·fu
玞	nhf_· 王夫 ·fu
踾	pfdq· ⻊一口田 ·fu
焤	xjkc2· 广亻寸火 ·fu
烰	cyhi2· 火爫子 ·fu
炥	ctf2· 火弗 ·fu
軵	yjkc· 車亻寸 ·fu
澓	kweh· 氵彳𠂉日夊 ·fu
輔	ynf3· 車甫 ·fu
輹	yeo_· 車𠂉日夊 ·fu
輻	yfdq2· 車一口田 ·fu
邚	bte2· 女阝 ·fu
邞	hte2· 夫阝 ·fu
泭	kjkc· 氵亻寸 ·fu
郙	nte2· 甫阝 ·fu
沕	kne_· 氵勹 ·fu
汱	kmq2· 氵犬 ·fu
鄜	xte3· 鹿阝 ·fu
酜	yhf_· 酉夫 ·fu
酻	yyhi2· 酉爫子 ·fu
釡	hzj5· 八金 ·fu
榑	enkc· 木甫寸 ·fu
鈇	zhf2· 金夫 ·fu
椱	eeoh· 木𠂉日夊 ·fu
椨	exj_· 木广亻寸 ·fu
棴	evzr· 木月卩又 ·fu
鉘	ztf_· 金弗 ·fu
鉜	zjkc· 金亻寸 ·fu
栿	ejm_· 木亻犬 ·fu
柫	etf2· 木弗 ·fu
柎	ejkc· 木亻寸 ·fu
枹	env_· 木勹巳 ·fu
枎	ehf2· 木夫 ·fu
旉	nlf_· 甫方 ·fu
鍑	zeoh· 金𠂉日夊 ·fu
鍢	zfdq· 金一口田 ·fu
撫	uel_· 扌𠂉卌一灬 ·fu
捬	uxj_· 扌广亻寸 ·fu
捊	uyh_· 扌爫子 ·fu
懯	nlhh· 甫方攵心 ·fu
陚	tfps· 阝一弋止 ·fu
怤	jkhx· 亻寸心 ·fu
復	weoh· 彳𠂉日夊 ·fu
彿	wtf_· 彳弗 ·fu
弣	bjkc· 弓亻寸 ·fu
韍	gnri3· 韋𠂇又丶 ·fu
帗	rnri· 巾𠂇又丶 ·fu
韛	gltt2· 韋龷丿 ·fu
巿	frj_· 一巾 ·fu
峊	tkvs· 丿㠯山 ·fu
頫	pwww2· 儿冫頁 ·fu
岪	vtf2· 山弗 ·fu
尃	nkc_· 甫寸 ·fu
颫	otch· ⺇丿虫夫 ·fu
颰	otci· ⺇丿虫𠂇又丶 ·fu
媍	bxo_· 女⺈貝 ·fu
婦	bbwr· 女彐冖巾 ·fu
婏	bwt2· 女兔 ·fu
娐	byhi2· 女爫子 ·fu
姇	jkb_· 亻寸女 ·fu
妋	bhf_· 女夫 ·fu
駙	njkc2· 馬亻寸 ·fu
報	ggz_· 土卩又 ·fu
垺	gyhi2· 土爫子 ·fu
垘	gjm_· 土亻犬 ·fu
坿	gjkc· 土亻寸 ·fu
髴	pet_· 镸彡弗 ·fu
嘸	del_· 口𠂉卌一灬 ·fu
鬴	nnf2· 鬲甫 ·fu
鮄	wtf3· 魚弗 ·fu
鮒	wjkc2· 魚亻寸 ·fu
鮲	wjm_· 魚亻犬 ·fu
哹	dyh_· 口爫子 ·fu
鰒	weoh3· 魚𠂉日夊 ·fu
咈	dtf_· 口弗 ·fu
鳧	xoj4· 鳥几 ·fu
鳬	xoj5· 几 ·fu
鳺	hxn2· 夫鳥 ·fu
鴔	trx_· 丿之鳥 ·fu
鵩	vzrx· 月卩又鳥 ·fu
鶝	fdqx· 一口田鳥 ·fu
刜	tpd2· 弗刂 ·fu
冹	wnri2· 冫𠂇又丶 ·fu
冨	wfdq3· 冖一口田 ·fu
麩	ejjh5· 木人人夂夫 ·fu
麬	ejjr3· 木人人夂皮 ·fu
偪	jfdq· 亻一口田 ·fu
偩	jxo_· 亻⺈貝 ·fu
麱	ejjn· 木人人夂甫 ·fu
俛	jwp_· 亻 ·fu
俌	jnf_· 亻甫 ·fu
伕	jhf_· 亻夫 ·fu
乁	ae5· 乁 ·fu
乀	id2· 乀 ·fu
㕹	dnri· 口𠂇又丶 ·fa
㘺	gjpg· 土亻戈 ·fa
㛲	bwy2· 女頁 ·fa
㳒	kmks· 氵大厶 ·fa
䂲	gksm· 土厶力石 ·fa
䇅	ipg2· 立戈 ·fa
䒥	lfrj2· 艹一巾 ·fa
䣹	yjp_· 酉亻戈 ·fa
㕨	doid· 口几丶 ·fan
㝃	hwpe3· 子 ·fan
㠶	rto_· 巾丿几 ·fan
㤆	hxr_· 忄⺁又 ·fan
㳎	kklc· 氵厶廾 ·fan
㴀	kltr· 氵艹丿之 ·fan
㶗	ekik· 𠂉母糸白水 ·fan
㸋	vct_· 火丿米田 ·fan
㺕	mtpq2· 犭丿米田 ·fan
㼝	lzrw· 夕⺋瓦 ·fan
㽹	axry2· 疒⺁又 ·fan
㾱	ahmp· 疒癶二儿 ·fan
䀀	kza_· 氵⺋皿 ·fan
䀟	qtf2· 目弗 ·fan
䉊	rkmy· ⺮厶大車 ·fan
䉒	rtpq2· ⺮丿米田 ·fan
䊩	ptpq2· 米丿米田 ·fan
䋣	ekis· 𠂉母糸 ·fan
䋦	iek_· 糹𠂉母 ·fan
䌓	ekri· 𠂉母殳糸 ·fan
䐪	vuv_· 月隹乃 ·fan
䒠	laf_· 艹丰 ·fan
䒦	ltri· 艹丿之 ·fan
䕰	lct_· 艹火丿米田 ·fan
䛀	sxr_· 言⺁又 ·fan
䡊	yxr_· 車⺁又 ·fan
䣲	ykl_· 酉厶廾 ·fan
䪛	gtpq3· 韋丿米田 ·fan
䪤	rft_· 非一丿米田 ·fan
䫶	ebbw· 木乂乂木大頁 ·fan
䭵	noid2· 馬几丶 ·fan
䮳	ntpq2· 馬丿米田 ·fan
㑂	jfmj· 亻一冂人 ·fang
㕫	dlf2· 口方 ·fang
㧍	ulf2· 扌方 ·fang
㯐	tnue· 阝𠂇工⺝木 ·fang
䉊	rkmy· ⺮厶大車 ·fang
䢍	luc4· 方辶 ·fang
䦈	pnug· 镸𠂇工 ·fang
䲱	xlf2· 鳥方 ·fang
䒈	inl_· 舟十艹貝 ·fe
㓈	wms3· 冫石 ·fei
㔗	tsl4· 弗力 ·fei
㥱	hnrf· 忄匚非 ·fei
㩌	utob· 扌弗貝 ·fei
㭭	edsp· 木口力刂 ·fei
㵒	ktob· 氵弗貝 ·fei
㸬	qfr_· 牜一巾 ·fei
㹃	rqn_· 非牛 ·fei
㾱	ahmp· 疒癶二儿 ·fei
䀟	qtf2· 目弗 ·fei
䆏	xpqh· 禾米田龷八 ·fei
䈈	rvmb· ⺮月巴 ·fei
䉬	rxhr· ⺮广癶弓殳 ·fei
